conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,followers,following,verified_status
1.9932E+18,Tue Nov 25 06:08:06 +0000 2025,31,TODAY IS PAYDAY!!! Minthinc pantau dari kemarin udah banyak yang kepo sama PDRN Serum kalo checkout sekarang lagi ada Payday Sale tuh Let s go squad! https://t.co/bXHRgU8AZF️ https://t.co/9cpI9yGRnB,1.9932E+18,https://pbs.twimg.com/media/G6lE1D3bwAAs8Wr.jpg,,in,,2,15,6,https://x.com/undefined/status/1993199999883321493,1.32444E+18,@Somethinc4u,42310,17,1
1.96028E+18,Tue Aug 26 10:10:22 +0000 2025,8,Minthinc kasih deh promonya Somethinc Lip Glaze ada di shopee BRAND DAY SALE!! https://t.co/ALKMCkQG6I https://t.co/PdIqyAOi3f,1.96028E+18,https://pbs.twimg.com/media/GzRTmkEbkAAIXTi.jpg,,in,,0,0,0,https://x.com/undefined/status/1960283672520855688,1.32444E+18,@Somethinc4u,42310,17,1
1.95625E+18,Fri Aug 15 10:18:31 +0000 2025,0,OIYA nggak cuma sale doang squadd ada 𝙀𝘼𝙍𝙇𝙔 𝘼𝘾𝘾𝙀𝙎𝙎 juga nih buat NEW products Somethinc yang belum launch di mana-mana! siapa yang mau jadi yang pertama cobain? https://t.co/dX1JuJZLER,1.9563E+18,https://pbs.twimg.com/media/GyYr9qRa0AEbjO6.jpg,Somethinc4u,in,,0,0,0,https://x.com/undefined/status/1956299457819255258,1.32444E+18,@Somethinc4u,42310,17,1
1.95625E+18,Fri Aug 15 07:34:00 +0000 2025,0,SALE up to 70% di booth Somethinc! Jangan lupa mampir squad! kalo mau liat pricelist tinggal scan barcode yang tersedia di booth Somethinc aja yahhh https://t.co/CJoTjnDNHH,1.95626E+18,https://pbs.twimg.com/media/GyYGUuGa4AA7ITS.jpg,Somethinc4u,in,,0,1,0,https://x.com/undefined/status/1956258056398102770,1.32444E+18,@Somethinc4u,42310,17,1
1.86455E+18,Thu Dec 05 05:43:55 +0000 2024,14,️Kalo kamu mau dapetin DISC. UP TO 65% &amp; Freebies Kalo kamu mau ikutan FLASH SALE Jakarta X Beauty (JCC Hall A 5-8 Des) https://t.co/rTgUPmvBK2,1.86455E+18,https://pbs.twimg.com/media/GeAy5Lpa0AQQ5iE.jpg,,in,,0,2,4,https://x.com/undefined/status/1864546222855659914,1.32444E+18,@Somethinc4u,42310,17,1
1.88025E+18,Fri Jan 17 13:57:11 +0000 2025,2968,FREEBIES SOMETHINC CUSHION BUAT CARATS yang nonton SEVENTEEN [RIGHT HERE] WORLD TOUR IN JAKARTA Caranya: - &amp; ️ twit ini - ⁠⁠Follow 𝕏 @Somethinc4u - Tinggalin jejak di tweets Minthincc - Reply dibawah section kamu &amp; lagu yang paling ditunggu dari setlist [RIGHT HERE] https://t.co/szfrcas3vu,1.88025E+18,https://pbs.twimg.com/media/GhgAKWnacAIVpfy.jpg,,in,,232,987,1567,https://x.com/undefined/status/1880253032526671954,1.32444E+18,@Somethinc4u,42310,17,1
1.89396E+18,Mon Feb 24 09:50:24 +0000 2025,289,Minthinc lagi mood bagi-bagi PR Package NEW‼️ Forever Stay Comfort Lip Glaze ️ &amp; tweet ini kalau Somethinc Squad mauuu https://t.co/baiH9p7UpV,1.89396E+18,https://pbs.twimg.com/media/Gkiz_0ha4AARoSo.jpg,,en,,2,163,223,https://x.com/undefined/status/1893961668146745745,1.32444E+18,@Somethinc4u,42310,17,1
1.86455E+18,Thu Dec 05 05:43:55 +0000 2024,14,️Kalo kamu mau dapetin DISC. UP TO 65% &amp; Freebies Kalo kamu mau ikutan FLASH SALE Jakarta X Beauty (JCC Hall A 5-8 Des) https://t.co/rTgUPmvBK2,1.86455E+18,https://pbs.twimg.com/media/GeAy5Lpa0AQQ5iE.jpg,,in,,0,2,4,https://x.com/undefined/status/1864546222855659914,1.32444E+18,@Somethinc4u,42310,17,1
1.99145E+18,Thu Nov 20 09:56:00 +0000 2025,317,[GIVEAWAY ALERT] READY FOR MORE BEAUTY BOUNTY?! LAST CHANCE untuk berburu 𝗦𝗼𝗺𝗲𝘁𝗵𝗶𝗻𝗰 𝘀 𝗢𝗻𝗲 𝗣𝗶𝗲𝗰𝗲 𝗣𝗥 𝗣𝗮𝗰𝗸𝗮𝗴𝗲! Rulesnya: ‍️ Follow @Somethinc4u ‍️ Hitung banyaknya produk Somethinc s One Piece Limited Edition di post ini &amp; komen jawabanmu ‍️ JBJB https://t.co/0PtOhFQ68B,1.99145E+18,https://pbs.twimg.com/amplify_video_thumb/1991445281569976320/img/3VgQz8Z5W6PTQGA_.jpg,,en,,5,235,159,https://x.com/undefined/status/1991445413216567673,1.32444E+18,@Somethinc4u,42310,17,1
1.88679E+18,Tue Feb 04 14:53:46 +0000 2025,430,SOMETHINC OMEGA DEEP CLEANSING BALM PR PACKAGE GIVEAWAY Follow @Somethinc4u + ️ tweet ini Mampir ke postingan Minthinc yang bahas Omega Butter &amp; NEW! Omega Jelly Pengumumannya tanggal 10 Februari yah Squadd goodluck! https://t.co/sLgiYmbyEp,1.88679E+18,https://pbs.twimg.com/media/Gi85vGla4AA9H_c.jpg,,in,,5,298,360,https://x.com/undefined/status/1886790257657413791,1.32444E+18,@Somethinc4u,42310,17,1
1.87265E+18,Fri Dec 27 14:09:22 +0000 2024,270,SOMETHINC HOLIDAY 𝐆𝐈𝐕𝐄𝐀𝐖𝐀𝐘 &amp; ️ tweet ini Follow @Somethinc4u Reply hasil screenshot Holiday Roulette kamu dibawah⬇️ Minthinc tunggu sampai 1 Januari 2025 ya Squad xixi goodluckk! https://t.co/eHnHEGAm5U,1.87265E+18,https://pbs.twimg.com/ext_tw_video_thumb/1872645754961248256/pu/img/PNbQAy6iEswIJr4i.jpg,,in,,2,318,230,https://x.com/undefined/status/1872645954207395943,1.32444E+18,@Somethinc4u,42310,17,1
1.91505E+18,Wed Apr 23 14:13:17 +0000 2025,653,GIVEAWAY NEW‼️𝐂𝐎𝐕𝐄𝐑𝐁𝐋𝐔𝐑 𝐂𝐔𝐒𝐇𝐈𝐎𝐍 UNTUK 20 ORANG SOMETHINC SQUAD Caranya: 1. Follow @Somethinc4u 2. + ️ tweet ini 3. Mampir ke semua twit Minthinc yang bahas Coverblur Cushion 4. Reply #SomethincCoverblur dibawah sebanyak-banyaknyaa Ditunggu sampai 2 https://t.co/7aS5iEeBJu,1.91505E+18,https://pbs.twimg.com/media/GpOceeka4AEOcgh.jpg,,in,,21,4648,417,https://x.com/undefined/status/1915046322975211969,1.32444E+18,@Somethinc4u,42310,17,1
1.98781E+18,Mon Nov 10 09:15:16 +0000 2025,569,Yang penasaran sama swatches-nya ANGKAT TANGAN dulu dong Minthinc udah ga sabar nge-spill https://t.co/k4vAHEjf9d,1.98781E+18,https://pbs.twimg.com/media/G5Yf0vwbkAEjZ1R.jpg,,in,,5,33,53,https://x.com/undefined/status/1987811283979358239,1.32444E+18,@Somethinc4u,42310,17,1
1.89401E+18,Mon Feb 24 13:01:49 +0000 2025,319,SOMETHINC 𝐋𝐈𝐏 𝐆𝐋𝐀𝐙𝐄 PR PACKAGE GIVEAWAY Follow @Somethinc4u + ️ tweet ini Mention 3 orang temen kamuu Mampir ke postingan Minthinc yang bahas Forever Stay Comfort Lip Glazee Pengumumannya tanggal 7 Maret yah Squadd goodluck! https://t.co/SzqrWOYcdC,1.89401E+18,https://pbs.twimg.com/media/Gkjf57cbMAAFn69.jpg,,en,,5,354,264,https://x.com/undefined/status/1894009840105632093,1.32444E+18,@Somethinc4u,42310,17,1
1.9183E+18,Fri May 02 13:56:33 +0000 2025,232, IT S SOMETHINC BIRTHDAY &amp; YOU GET THE GIFTS! Gimana caranya? 1️⃣Follow @Somethinc4u 2️⃣RT &amp; Like tweet ini 3️⃣Komentar produk Somethinc yang kamu pengen + alasannya 4️⃣Be active di tweets Minthinc Cusss banjirin reply siapa tahu kamu yang beruntung! https://t.co/5mmKoItBGE,1.9183E+18,https://pbs.twimg.com/media/Gp8uuapawAUIpYe.jpg,,in,,5,303,195,https://x.com/undefined/status/1918303601455448178,1.32444E+18,@Somethinc4u,42310,17,1
1.86432E+18,Wed Dec 04 14:53:34 +0000 2024,302,[GIVEAWAY CALM DOWN GENTLE MICELLAR WATER &amp; CALM DOWN DISPENSER] Caranya: - &amp; ️ twit ini - ⁠⁠Follow 𝕏 @Somethinc4u - Mampir ke tweet Minthinc sebelumnya yang bahas Calm Down Micellar Water - Reply done Closed 16 Des 2024 yaa good luck Squadd https://t.co/o0CeFP212E,1.86432E+18,https://pbs.twimg.com/ext_tw_video_thumb/1864322135705178113/pu/img/Nh6W9_CG8snblwX2.jpg,,en,,2,346,258,https://x.com/undefined/status/1864322156102078483,1.32444E+18,@Somethinc4u,42310,17,1
1.96028E+18,Tue Aug 26 10:10:22 +0000 2025,8,Minthinc kasih deh promonya Somethinc Lip Glaze ada di shopee BRAND DAY SALE!! https://t.co/ALKMCkQG6I https://t.co/PdIqyAOi3f,1.96028E+18,https://pbs.twimg.com/media/GzRTmkEbkAAIXTi.jpg,,in,,0,0,0,https://x.com/undefined/status/1960283672520855688,1.32444E+18,@Somethinc4u,42310,17,1
